CPLEX 12.6.0.0: time=600
CPLEX 12.6.0.0: optimal integer solution; objective 80605
4 MIP simplex iterations
0 branch-and-bound nodes
Items in the knapsack:
ID	Cost	Value
0	570	670
1	1	101
2	119	219
4	187	287
5	367	467
8	22	122
9	613	713
10	347	447
12	522	622
13	122	222
15	486	586
18	232	332
19	463	563
20	554	654
21	589	689
22	675	775
23	325	425
26	407	507
28	276	376
29	123	223
30	331	431
31	356	456
32	361	461
33	305	405
35	47	147
36	427	527
37	645	745
38	439	539
39	139	239
40	91	191
41	247	347
42	650	750
43	211	311
44	10	110
45	100	200
47	627	727
52	137	237
53	475	575
57	101	201
58	99	199
59	281	381
60	609	709
63	530	630
64	97	197
65	240	340
67	248	348
68	226	326
70	241	341
71	31	131
72	584	684
73	613	713
74	348	448
76	475	575
77	367	467
78	178	278
80	641	741
81	410	510
83	157	257
84	250	350
86	391	491
87	242	342
88	101	201
89	472	572
90	636	736
92	87	187
94	652	752
95	371	471
97	337	437
98	54	154
100	509	609
101	204	304
103	594	694
104	129	229
105	226	326
106	597	697
107	226	326
108	513	613
110	201	301
111	537	637
112	227	327
113	112	212
114	82	182
116	296	396
117	392	492
120	537	637
125	79	179
126	642	742
128	205	305
129	361	461
130	551	651
134	400	500
136	250	350
138	586	686
140	631	731
141	636	736
143	459	559
144	510	610
145	390	490
146	542	642
147	141	241
148	576	676
149	111	211
150	550	650
151	588	688
152	504	604
153	6	106
154	702	802
155	155	255
156	20	120
158	179	279
161	667	767
162	95	195
164	598	698
165	487	587
167	590	690
168	239	339
169	370	470
170	37	137
173	173	273
175	56	156
176	261	361
179	681	781
180	46	146
181	689	789
182	438	538
184	116	216
186	503	603
187	587	687
188	603	703
189	686	786
190	194	294
191	466	566
192	341	441
193	356	456
194	545	645
195	784	884
196	52	152
199	223	323
200	260	360
201	541	641
202	197	297
203	61	161
204	213	313
205	416	516
206	462	562
207	62	162
208	62	162
209	205	305
210	203	303
211	152	252
212	269	369
214	160	260
215	267	367
217	249	349
218	174	274
219	187	287
220	700	800
221	174	274
222	114	214
224	412	512
227	56	156
228	109	209
229	381	481
230	369	469
231	551	651
232	525	625
233	128	228
234	987	1087
236	660	760
238	149	249
239	544	644
241	684	784
242	396	496
246	30	130
247	330	430
248	384	484
249	115	215
251	38	138
252	483	583
253	445	545
254	176	276
255	619	719

costBound = 62405

totalCost = 62405

totalValue = 80605

