CPLEX 12.6.0.0: time=600
CPLEX 12.6.0.0: optimal integer solution; objective 14519
4 MIP simplex iterations
0 branch-and-bound nodes
Items in the knapsack:
ID	Cost	Value
0	725	825
1	1	101
2	119	219
4	187	287
5	367	467
8	22	122
9	613	713
12	522	622
13	122	222
15	486	586
18	232	332
19	463	563
20	554	654
21	589	689
23	325	425
26	407	507
28	276	376
29	123	223
30	331	431
31	356	456
32	361	461
33	305	405
35	47	147
36	427	527
37	645	745
38	439	539
39	139	239
40	91	191
41	247	347
42	650	750
43	211	311
44	10	110
45	100	200
47	627	727

costBound = 11119

totalCost = 11119

totalValue = 14519

